title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills,expiry
حوكمة شركات,إعداد وتطوير دليل السياسات والإجراءات:العمل مع الإدارات المختلفة لتحديد الاحتياجات الأساسية وتوثيق السياسات والإجراءات المتعلقة بكل قسم.تصميم دليل شامل يضم كافة السياسات والإجراءات التي تضمن توافق العمليات مع الأهداف الاستراتيجية للشركة.ضمان أن السياسات تعكس الالتزام بالقوانين المحلية والدولية والمعايير المهنية.مراجعة وتحديث السياسات القائمة:مراجعة السياسات والإجراءات الحالية وتحليل فعاليتها.تقديم التوصيات حول تحديث أو تحسين السياسات لضمان تلبية احتياجات الشركة والتطورات التشريعية أو التنظيمية.تطوير مصفوفة الصلاحيات:تحديد السلطات والمسؤوليات داخل المنظمة وضمان توزيعها بطريقة تعزز الشفافية والمساءلة.تصميم مصفوفة توضح الصلاحيات الممنوحة لكل مستوى إداري وتحديد إجراءات اتخاذ القرار على كافة المستويات.التأكد من أن مصفوفة الصلاحيات تعكس التسلسل الهرمي الصحيح وأنها تتناسب مع أهداف الشركة وتضمن فعالية العمليات.التواصل مع الإدارات المختلفة:التنسيق مع رؤساء الأقسام والمديرين لفهم احتياجات كل قسم وضمان أن السياسات والإجراءات مصممة وفقًا لطبيعة العمل في كل إدارة.جمع التعليقات من الأطراف المعنية لتحديث وتطوير السياسات والإجراءات عند الحاجة.ضمان الامتثال والالتزام:التأكد من أن السياسات والإجراءات ومصفوفة الصلاحيات تتماشى مع القوانين واللوائح المحلية والدولية.العمل على ضمان أن جميع الموظفين على دراية بالسياسات والإجراءات، وتوفير التدريب اللازم لشرح كيفية الامتثال بها.إدارة التغيير في السياسات:تقديم استشارات عند تنفيذ تغييرات أو تحسينات في السياسات والإجراءات وضمان إدارتها بشكل سلس وفعال.توثيق جميع التغييرات التي يتم إجراؤها على السياسات والإجراءات لضمان التوافق المستمر مع الأهداف الاستراتيجية للشركة.التدريب والتوعية:إعداد وتنظيم برامج تدريبية لجميع الموظفين على السياسات والإجراءات الجديدة ومصفوفة الصلاحيات.التأكد من أن كل موظف يفهم مسؤولياته وصلاحياته داخل المنظمة لضمان اتباع السياسات بشكل صحيح.تطوير أدوات مراقبة الامتثال:وضع آليات وأدوات لرصد الامتثال بالسياسات والإجراءات، مثل تقارير الامتثال، والمراجعات الدورية، والتدقيق الداخلي.تقديم تقارير دورية للإدارة التنفيذية حول مدى الامتثال وتحديد أي مشكلات محتملة تتعلق بتطبيق السياسات.إدارة الوثائق والسياسات:الحفاظ على قاعدة بيانات شاملة تضم جميع السياسات والإجراءات والمصفوفات، وضمان إمكانية الوصول إليها بسهولة من قبل الجهات المعنية.إنشاء نظام لضمان أن السياسات محدثة ومراجعة بشكل دوري.التنسيق مع الجهات الرقابية:العمل كحلقة وصل بين الشركة والجهات الرقابية أو الخارجية لضمان أن دليل السياسات والإجراءات ومصفوفة الصلاحيات يتوافق مع المتطلبات التنظيمية.,Buraidah · Saudi Arabia,Finflow,,['Health and Wellness'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/saudi-arabia/jobs/%D8%AD%D9%88%D9%83%D9%85%D8%A9-%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-5194000/,Yesterday,,,
AI Data Scientist,"Role Overview:We are seeking a Full Stack Data Scientist with deep expertise in AI, Generative AI (GenAI), and machine learning technologies, especially in the Microsoft Azure ecosystem. This leader will spearhead AI delivery projects, contributing to our growing portfolio across industries such as oil and gas, government, and retail. The ideal candidate will have extensive experience in AI project execution, from data engineering to model deployment, with a strong track record in working with the latest AI models like LLMs (Large Language Models) and RAG (Retrieval-Augmented Generation).As part of their role, this individual will guide teams, manage complex AI use cases, and deliver end-to-end AI solutions that align with business objectives. The role also requires a blend of strategic foresight, technical depth, and hands-on expertise to successfully integrate AI into operational workflows.Key Responsibilities:AI Project Leadership: Lead the delivery of AI and GenAI projects from inception to deployment, ensuring alignment with business goals, timelines, and resource allocation.Technical Delivery Oversight: Design, build, and deploy AI/ML models (including LLMs and RAG models) to solve business challenges, ensuring solutions are optimized for scalability and efficiency.Cross-Industry Expertise: Deliver impactful AI solutions tailored to industries such as oil and gas (e.g., predictive maintenance), government (e.g., citizen engagement, process automation), and retail (e.g., customer personalization).Data Engineering & Model Training: Oversee data engineering pipelines, ensuring that the right data is accessible, clean, and optimized for machine learning models. Responsible for model training and fine-tuning to meet specific business needs.MLOps & Lifecycle Management: Implement robust MLOps practices to ensure models are deployed and managed effectively, including continuous monitoring, retraining, and updates based on performance.Presales Support: Engage with clients during the presales phase by presenting technical expertise and crafting tailored AI solutions that address their business needs. Participate in proposals, RFPs, and client workshops.AI Advisory & Expertise: Act as a trusted advisor for clients, providing insights and recommendations on how AI can transform their business, improve operational efficiencies, and drive innovation.",Doha · Qatar,Ghaia.ai,,['Engineering and Technology'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/qatar/jobs/ai-data-scientist-5194039/,Yesterday,,,
Development Lead (Microsoft Business Applications & AI),"Role Overview:We are seeking a highly skilled Development Lead with expertise in full-stack development, Microsoft Business Applications (CRM, ERP), Power Platform, AI integration, and DevOps. The ideal candidate will manage all technical delivery projects, ensuring seamless integration of AI into business applications. This person will lead the development team, ensure CI/CD pipelines are in place, and oversee the full lifecycle of projects. Additionally, the role requires experience with UI/UX design, CRM plugins, and business intelligence to deliver comprehensive, scalable solutions.Key Responsibilities:Technical Leadership: Lead the design and development of Microsoft Dynamics 365 (CRM, ERP) and Power Platform solutions, integrating CRM plugins, actions, and AI features.Full Stack Development: Oversee front-end and back-end development using .NET and other full-stack technologies, ensuring scalability and security.UI/UX Design & Design Thinking: Apply UI/UX best practices and design thinking to ensure user-friendly, visually appealing solutions that meet business objectives.CI/CD & DevOps: Implement and manage CI/CD pipelines for smooth deployment and integration of solutions, following best practices in DevOps.AI & Business Intelligence: Integrate AI technologies and business intelligence tools into business applications to enhance decision-making and operational efficiency.Cross-Functional Collaboration: Collaborate with data science, business analysts, and other teams to ensure technical solutions align with business needs and client expectations.Project Supervision: Manage all development projects, ensuring they are delivered on time, within scope, and meet technical and business requirements.Best Practices: Establish and enforce development standards, including code quality, DevOps practices, and Agile methodologies.",Doha · Qatar,Ghaia.ai,,['Business and Management'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/qatar/jobs/development-lead-microsoft-business-applications-ai-5194031/,Yesterday,,,
Sr. Big Data Engineer,"Seasoned data professional with demonstrated ability to approach data challenges holistically and practically, in line with the strategic needs of a digital bank.Proven track record in constructing robust Big Data pipelines capable of real-time processing, instrumental in delivering instant banking services and real-time analytics.Extensive development experience with Cloudera CDP, familiar with its various components and their application in a digital banking environment.Hands-on experience with Spark, Spark Streaming, and Spark optimizations, capable of managing large-scale, high-speed data processing tasks crucial in digital banking.Proficient with Hive, Impala Kudu, HBase, and Phoenix, experienced in managing substantial databases typical in the banking sector.Skilled in using orchestration tools like Oozie & Airflow, capable of managing complex workflows integral to automated banking processes.Experienced Kafka developer, adept at using Kafka Connect, Schema Registry, and Kafka Stream for handling high-volume, real-time messaging crucial for digital banking services.Proficient with Apache Nifi and Nifi Registry, experienced in managing complex data flows vital for real-time banking operations.Solid programming skills in Scala, Python, and Java, with a focus on developing and optimizing data-intensive applications for digital banking.",Riyadh · Saudi Arabia,Evalueserve,,['Engineering and Technology'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/saudi-arabia/jobs/sr-big-data-engineer-4986711/,Yesterday,,,
Business Research - Secondary Research,"Evalueserve is a leading global professional services firm specializing in research support. We partner with top companies around the world to provide them with valuable insights, innovative solutions, and strategic guidance that help our clients navigate the complex landscape and maximize their investment outcomes. Our work spans across industries, including finance, healthcare, technology, and more. As a member of the Professional Services & Asset & Wealth Management team, you will have the opportunity to work on exciting projects that shape the future of businesses. You will become an integral part of a dynamic team that leverages cutting-edge technologies, data-driven insights, and deep industry expertise to drive meaningful impact for our clients. You will collaborate with industry experts, thought leaders, and talented colleagues from diverse backgrounds. Knowledge of key terminology, latest trends, key industry metrics Conduct qualitative and quantitative research (primary and secondary) on a variety of topics ranging from Press Reviews to Industry Reports to Market Studies, gathering information from relevant and qualified sources.Preparation of company profiles, biographies, industry reports, cross industry custom ad-hoc requests in a rapid research environment Excellent communication, listening, and interpersonal skills.Analyzing and preparing presentations from research data Active participation & contribution in team discussions on project specific areas Managing range of projects across sectors Managing client communication Ability to analyze and synthesize the available data and bring out value-added insights to the clients. Ability to ensure that tasks within areas of responsibility are completed in a timely manner.Ability to identify and solve issues effectively on time.",Cairo · Egypt,Evalueserve,,['Business and Management'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/business-research-secondary-research-4986715/,Yesterday,,,
Research Analyst,"About Evalueserve:Evalueserve is a global leader in delivering innovative and sustainable solutions to a diverse range of clients, including over 30% of Fortune 500 companies. With presence in more than 45 countries across five continents, we excel in leveraging state-of-the-art technology, artificial intelligence, and unparalleled subject matter expertise to elevate our clients' business impact and strategic decision-making. We have 4,500+ talented professionals operating across 45 countries, including India, China, Chile, Romania, the US, and Canada. Our global network also extends to emerging markets such as Colombia, the Middle East, and the rest of Asia-Pacific. Recognized by Great Place to Work® in India, Chile, Romania, the US, and the UK in 2022, we offer a dynamic, growth-oriented, and open culture that prioritizes flexible work-life balance, diverse and inclusive teams, and equal opportunities for all. Key Responsibilities:Knowledge of key terminology, latest trends, key industry metrics Conduct qualitative and quantitative research (primary and secondary) on a variety of topics ranging from Press Reviews to Industry Reports to Market Studies, gathering information from relevant and qualified sources.Preparation of company profiles, biographies, industry reports, cross industry custom ad-hoc requests in a rapid research environment Excellent communication, listening, and interpersonal skills.Analyzing and preparing presentations from research data Active participation & contribution in team discussions on project specific areas Managing range of projects across sectors Managing client communication Ability to analyze and synthesize the available data and bring out value-added insights to the clients. Ability to ensure that tasks within areas of responsibility are completed in a timely manner.Ability to identify and solve issues effectively on time.",Cairo · Egypt,Evalueserve,,"['Communications, Marketing, and Sales']",['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/research-analyst-4977249/,Yesterday,,,
Poultry Sales Development Executive,"Job Description: STOCK AND FEATHERS FOODSTUFF (SAFF) is seeking a dynamic and results-driven Poultry Sales Executive to join our team. The ideal candidate will be responsible for identifying new business opportunities, managing existing accounts, and expanding sales channels within the poultry sector.Key Responsibilities:Develop and execute sales strategies to meet targetsBuild and maintain strong relationships with clients (HORECA, retailers, etc.)Identify new market opportunitiesEnsure customer satisfaction and timely delivery of productsPrepare sales reports and forecastsRequirements:Proven experience in sales, preferably in the poultry or food industryStrong communication and negotiation skillsAbility to work independently and meet sales targetsValid UAE driving licenseBenefits:Competitive salary with commissionTransportation allowanceOpportunity for career growth",Abu Dhabi · UAE,STOCK & FEATHERS,,"['Communications, Marketing, and Sales']",['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/uae/jobs/poultry-sales-development-executive-5193887/,Yesterday,,,
Salesman,"Assist in doing more research of the market by trying all kinds of ways. Promote the company and products by means of online and offline. Find the relevant clients and customers and keep connections with them. Ensure achievement of all sales target and analyses all company objectives.Boosting sales prospects through effective utilization of consumer sales, dealer, PR, and business promotion techniques.",Dubai · UAE,POUSSA MACHINERY TRADING L.L.C,,['Health and Wellness'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/uae/jobs/salesman-5193945/,Yesterday,,,
Digital Marketing Specialist,"The Digital Marketing Specialist will be responsible for creating and implementing digital marketing campaigns, managing social media platforms, content creation, generating leads, analyzing web data.KEY RESPONSIBILITIES:Develop and execute SEO strategies to improve website visibility, organic search rankings, and traffic acquisition.Conduct keyword research, analysis, and optimization to enhance website content and drive targeted traffic.Manage and optimize pay-per-click (PPC) advertising campaigns on platforms such as Google Ads and social media channels to maximize ROI.Create and manage the company's social media presence (Instagram, TikTok, Telegram, LinkedIn), including content creation, scheduling, and engagement, to build brand awareness and drive traffic to the website.",Dubai · UAE,KZ Carrier Rent a Car LLC,,"['Communications, Marketing, and Sales']",['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/uae/jobs/digital-marketing-specialist-5193950/,Yesterday,,,
Customer Service Representative (French-English Bilingual),"NAB Solutions is a Canada-based financial services and technology start-up poised to help everyday consumers navigate personal finance through our lender matching and credit repair services. We are seeking a bilingual (English-French) customer service representative with experience managing high volumes of customer interactions efficiently and accurately. This fully remote role requires 15-20 hours of work per week, based on the Mountain Time Zone during weekends. The position has a strong potential to become full-time after a 6-month probationary period, with the possibility of an earlier transition based on performance.What Your Day-to-Day Will Look Like (But Are Not Limited To) Resolve customer issues promptly to ensure customer satisfaction and loyalty.Maintain thorough and accurate records of customer interactions and transactions.Proactively reach out to customers to gather feedback and identify areas for improvement.Provide timely and accurate responses to customer inquiries.Proactively reach out to customers to gather feedback and identify areas for improvement.",Calgary · Canada,NAB Solutions,,"['Hospitality, Tourism, and Customer Service']",['Part time'],,,Entry,,0-1 Years,https://www.bayt.com/en/canada/jobs/customer-service-representative-french-english-bilingual-5193838/,Yesterday,,,
Sales And Marketing Manager,"NAB Solutions is a Canada-based, fully remote, financial services start-up. Our mission is to empower individuals on their journey to financial wellness by providing accessible and responsible credit repair solutions. We’re looking for a full-time marketing manager (fully remote with work hours within the mountain time zone) that can develop and execute content marketing, business development, and social media campaigns to drive brand awareness. What Your Day-to-Day Will Look Like (But Are Not Limited To) Spearhead the development of content marketing campaigns aimed at Gen Z, highlighting responsible credit usage and financial literacy, while maintaining adherence to all applicable marketing regulations (e.g., CASL, GDPR, Fair Advertising Standards).Work closely with compliance / legal, CX, and product teams to ensure marketing materials are fully compliant with financial industry regulations, including FINTRAC, CASL, GDPR, and other relevant laws.Oversee social media strategies to boost brand visibility and engagement, ensuring all content complies with legal requirements, such as anti-spam laws and data protection regulations.Collaborate with legal and product teams to create targeted, compliant marketing campaigns that educate potential customers about credit card benefits and responsible usage.Analyze customer feedback, behavior, and market trends to optimize marketing strategies, ensuring they empower customers while complying with marketing and financial regulations.",Calgary · Canada,NAB Solutions,,"['Communications, Marketing, and Sales']",['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/canada/jobs/sales-and-marketing-manager-5193839/,Yesterday,,,
