sector,expiry,title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills
"Communications, Marketing, and Sales",,Telesale Executive,"We are seeking a skilled Telesales Representative to join our team. The ideal candidate will have a passion for sales, excellent communication skil...",Doha,Mersal Information Technology,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/telesale-executive-72953,15 Sep 2024 -,2500 - 3000 Qatar Rials(Monthly),Advertising Sales
Health and Wellness,,Videographer,"مطلوب مصور فوتوغرافي محترف ومصور فيديو، يجب أن يكون في الإمارات العربية المتحدة، مطلوب خبرة لا تقل عن 01-02 سنة، الراتب قابل للتفاوض
*** cv",Dubai,Unique Digital Advertising,,,Full time,Intermediate School,,Entry,,1+ Years,https://www.gulfjobs.com/job/videographer-72924,14 Sep 2024 -,4 - 5 UAE Dirhams(Monthly),"Adobe Photoshop, Photography, Video Editing"
Health and Wellness,,Tailor,"We are an advertising company based in Sharjah, looking to hire an experienced Tailor with a strong background in flag stitching and related tasks...",Sharjah,Jomin M. Jose,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/tailor-72844,12 Sep 2024 -,2000 - 3000 UAE Dirhams(Monthly),Tailoring
"Quality Assurance, Safety, and Compliance",,Google Ads Specialist,"Job Summary:
We are seeking a talented Google Ads Specialist to join our growing team. In this role, you will be responsible for managing and optim...",Dubai,Villox Properties LLC,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/google-ads-specialist-72810,11 Sep 2024 -,1 -  UAE Dirhams(Monthly),"Advertising, Advertising Management, Google Analytics, SEO"
Administrative and Secretarial Services,,Nanny / Personal Assistant,"**Job Title: Nanny / Personal Assistant (PA)**  
**Location: Townsquare**  
**Position: Full-Time**  

We are looking for a reliable and organized...",Dubai,Blake hendrie,,,Contract,Secondary School,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/nanny-personal-assistant-72729,09 Sep 2024 -,5000 - 8000 UAE Dirhams(Monthly),Administration
"Communications, Marketing, and Sales",,Sales Executive,"At Nexus, we are looking for a competitive and trustworthy Sales Executive to contribute to the growth of our company. The ideal candidate should b...",Manama,Nexus Group,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/sales-executive-72665,08 Sep 2024 -,300 - 400 Bahrain Dinar(Monthly),B2B Sales
"Hospitality, Tourism, and Customer Service",,Executive customer service,"Handle complex customer inquiries and resolve issues with professionalism.
Maintain strong relationships with key clients to enhance customer satis...",Dubai,lolo,,,Full time,Intermediate School,,Entry,,1+ Years,https://www.gulfjobs.com/job/executive-customer-service-72607,06 Sep 2024 -,3000 - 4000 UAE Dirhams(Monthly),"Problem Solving, Team-Work"
"Architecture, Design, and Construction",,Designer,"Urgently required a designer  for agricultural works company in Ajman.

Experience: 2 to 3 years in landscaping company.

Required:
Autocad & 3D de...",Ajman,Green Step Agricultural,,,Contract,Diploma,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/designer-72985,16 Sep 2024 -,3000 - 4000 UAE Dirhams(Monthly),AutoCAD 3D
Engineering and Technology,,Tendering Engineer,"1.Tender Management:
oLead the preparation and submission of tenders, ensuring compliance with client requirements and deadlines.
oAnalyze tender d...",Abu Dhabi,Nature for Agriculture & Environmental Solution LLC,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/tendering-engineer-71706,16 Aug 2024 -,6000 - 7000 UAE Dirhams(Monthly),"Bid Management, Contract Administration, Tendering"
"Agriculture, Forestry, and Environmental Science",,Environmental Engineer,"•  CEMP Report Preparation:
•Develop and maintain Construction Environmental Management Plans (CEMP) to ensure environmental compliance during cons...",Abu Dhabi,Nature for Agriculture & Environmental Solution LLC,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/environmental-engineer-71705,16 Aug 2024 -,6000 - 7000 UAE Dirhams(Monthly),"Environmental Engineering, Environmental Impact Assessment, Environmental Management"
Engineering and Technology,,Agriculture Engineer,"1.Landscape Design and Planning:
oDevelop and design landscaping plans that meet client requirements and site conditions.
oIncorporate sustainable...",Abu Dhabi,Nature for Agriculture & Environmental Solution LLC,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/agriculture-engineer-71704,16 Aug 2024 -,6000 - 7000 UAE Dirhams(Monthly),"Agricultural Engineering, CAD Design, Landscaping"
Health and Wellness,,Veterinary Doctor,We are seeking a skilled  Veterinary Doctor to join our team with more than 5 years experienced and license in UAE.  you will be responsible for di...,Dubai,Safe care veterinary clinic dmcc,,,Contract,,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/veterinary-doctor-71190,01 Aug 2024 -,5000 - 10000 UAE Dirhams(Monthly),Veterinary
Engineering and Technology,,Pest Control Engineer (Supervisor),Qulaification: BSC or MSC Science,Fujairah,ANCHOR PEST CONTROL & TRADING LLC,,,Contract,Masters,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/pest-control-engineer-supervisor-70860,22 Jul 2024 -,1 - 4 UAE Dirhams(Monthly),Agricultural Engineering
"Agriculture, Forestry, and Environmental Science",,Greenhouse hydroponics farm manager,Ability to successfully manage large scale greenhouse production and packaging,Hail,Nole group,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/greenhouse-hydroponics-farm-manager-70352,01 Jul 2024 -,10000 - 20000 Saudi Riyals(Monthly),Agricultural
"Agriculture, Forestry, and Environmental Science",,Pest control supervisor,Urgent hiring qualified pest control supervisor (Dubai municipality card holder),Dubai,Signature pests control services,,,Contract,Diploma,,Entry,,1+ Years,https://www.gulfjobs.com/job/pest-control-supervisor-69217,20 May 2024 -,3000 - 4000 UAE Dirhams(Monthly),Pest Control
Manufacturing and Production,,Driver Pest Control Technician,Hiring Driver  Pest Control Technician approved by Dubai municipality with DM card only must be available in UAE available to join immediately,Dubai,Xtremz Insectz Pest Control Services LLC,,,Contract,No Education,,Entry,,1+ Years,https://www.gulfjobs.com/job/driver-pest-control-technician-68897,11 May 2024 -,2000 - 2500 UAE Dirhams(Monthly),"Driving, Pest Control"
Manufacturing and Production,,Pest Control Technician (DM),"• Determining the kind of treatment required to eliminate a particular type of pest. 
• Advising customers on the kind of treatment required to eli...",Dubai,ABS Technical Services,,,Full time,Secondary School,,Entry,,1+ Years,https://www.gulfjobs.com/job/pest-control-technician-dm-68895,11 May 2024 -,1000 - 1500 UAE Dirhams(Monthly),"online data entry, Operating Systems, Pest Control, Service support"
"Communications, Marketing, and Sales",,Looking for SALES EXECUTIVE-IMMEDIATE HIRING,"One of the leading manufacturing Company looking for a SALES EXECUTIVE
-IMMEDIATE HIRING-
* Only Experienced Candidates are Required
( MECHANICAL B...",Manama,ARABIAN GULF AIR OUTLET FACTORY,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/looking-for-sales-executive-immediate-hiring-73058,17 Sep 2024 -,1 -  Bahrain Dinar(Monthly),"Business Development, Marketing Sales"
Engineering and Technology,,Duct fabricator and HVAC Technician,"We need Duct fabricator and HVAC Technician for A/C  maintenance company in Abu Dhabi.
Candidate should be available in UAE with immediate joining....",Dubai,Wazaf Human Resource Consultancy,,,Full time,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/duct-fabricator-and-hvac-technician-73048,17 Sep 2024 -,2000 - 2500 UAE Dirhams(Monthly),"AC Maintenance, C Maintenance, Ducting, Fabrication"
Engineering and Technology,,HVAC Engineer,Jon 12 hours,Dubai,Al shamaa al thahabiah ac units fix cont,,,Contract,Masters,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/hvac-engineer-72925,14 Sep 2024 -,3000 - 5000 UAE Dirhams(Monthly),AC Maintenance
Engineering and Technology,,HVAC ENGINEER ( 2 to 3 years experience) WITH UAE DRIVING LICENCE,"HVAC ENGINEER WITH 2 TO 3 YEARS EXPERIENCE IN UAE  ( MUST HAVE UAE DRIVING LICENCE)



A) Projects execution and coordination.

B) Site incharge in...",Ajman,ASC,,,Contract,,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/hvac-engineer-2-to-3-years-experience-with-uae-driving-licence-72887,13 Sep 2024 -,3500 -  UAE Dirhams(Monthly),AutoCAD Drafting
Manufacturing and Production,,Junior Technician,"Key Responsibilities:
1.Assist with Conveyor Belt Installation: Help in the installation and setup of conveyor belt systems under senior technician...",Dubai,Alsarim,,,Full time,Diploma,,Entry,,1+ Years,https://www.gulfjobs.com/job/junior-technician-72788,11 Sep 2024 -,1500 - 2150 UAE Dirhams(Monthly),"Electrical Technician, Electrician, Mechanic, Mechanical"
"Retail, Wholesale, and Inventory Management",,Store Keeper,"We are looking for a dedicated and organized Store Keeper to manage the storage and handling of materials such as fittings, pipes, and insulation....",Dubai,Al Fahim,,,Full time,Secondary School,,Student,,Fresh,https://www.gulfjobs.com/job/store-keeper-72638,07 Sep 2024 -,1200 - 1300 UAE Dirhams(Monthly),Stores Maintenance
Manufacturing and Production,,Ac technician,Required experienced ac technician,Dubai,Coolair,,,Contract,,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/ac-technician-72555,04 Sep 2024 -,1200 - 2000 UAE Dirhams(Monthly),AC Maintenance
"Agriculture, Forestry, and Environmental Science",,"Air Condition Technician , Helper, Duct Fabricator","AIR CONDITIONING TECHNICIANS : INSTALLING, MAINTAINING AND REPAIRING VENTILATIONAND AIR CONDITIONING SYSTEMS, CLEANING, ADJUSTING, ETC.
HELPER
DUCT...",Ajman,AL HADAF ELECTRONICS LLC,,,Full time,,,Entry,,1+ Years,https://www.gulfjobs.com/job/air-condition-technician-helper-duct-fabricator-72438,02 Sep 2024 -,1000 - 1800 UAE Dirhams(Monthly),AC Maintenance
Engineering and Technology,,Senior Ductmen / Duct & AC formen,"(1) We need senior Ductmen He also know ducting drawing and RCP drawing , UAE  experience 6 years.
(2) Need ducting & AC formen he also know fully...",Dubai,SHAT ALBAHAR TECHNICAL WORKS LLC .DUBAi,,,Full time,Intermediate School,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/senior-ductmen-duct-ac-formen-72361,31 Aug 2024 -,1500 - 2500 UAE Dirhams(Monthly),"AC, Ducting"
"Architecture, Design, and Construction",,MECHANICAL HELPER,"HEATING VENTILATION, AND AIR CONDITIONING(HVAC) SYSTEMS
ELECTRICAL :- INCLUDING LIGHTINING POWER DISTRIBUTION, FIRE ALARMS AND EMERGENCY SYSTEMS
PL...",Abu Dhabi,NM HR COUNSTALNCY,,,Full time,No Education,,Entry,,1+ Years,https://www.gulfjobs.com/job/mechanical-helper-72306,30 Aug 2024 -,1300 -  UAE Dirhams(Monthly),"Electrical Technician, Mechanical Electrical Plumbing"
Administrative and Secretarial Services,,Bilingual Secretary job description (Speaking Arabic),"Job Scope:
The Bilingual Executive Secretary will assume the duty of clerical and administrative support in order to optimize workflow procedures i...",Abu Dhabi,Abu Dhabi Airports,,,Contract,Bachelors,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/bilingual-secretary-job-description-speaking-arabic-71900,21 Aug 2024 -,12 -  UAE Dirhams(Monthly),Secretarial
Manufacturing and Production,,Composite Technician - Pre-Preg Lamination.,"To be a part of an expert team specilized in the manufacturing of composite for MARINE, AEROSPACE AND MOTORS.",Sharjah,Enata Aerospace,,,Full time,Secondary School,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/composite-technician-pre-preg-lamination-71680,16 Aug 2024 -,3000 - 5500 UAE Dirhams(Monthly),"Manufacturing Technology, Technician"
Manufacturing and Production,,Electronic Technician,"- Responsible of testing the electronics components.
- Responsible of changing the maintenance of the electronics parts.
- Perform the necessary so...",Sharjah,Enata Aerospace,,,Full time,Secondary School,,Entry,,1+ Years,https://www.gulfjobs.com/job/electronic-technician-71621,14 Aug 2024 -,3500 - 5500 UAE Dirhams(Monthly),"Cabling, Electronic Components, Panel Wiring, Soldering, Testing, Troubleshooting, Wiring Harness"
"Hospitality, Tourism, and Customer Service",,Hiring Arabic Head of Travel Sales,"Lead and manage the travel sales team, setting clear goals and providing continuous training to ensure high performance.
Develop and implement effe...",Dubai,HolidayBest Gulf,,,Full time,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/hiring-arabic-head-of-travel-sales-71408,08 Aug 2024 -,1 - 0 UAE Dirhams(Monthly),Tours Travels
"Logistics, Supply Chain, and Transportation",,AIRCRAFT CABIN CLEANER,"We are looking for Aircraft Cabin Cleaner whose duties and responsibilities are including:

Clean and maintain the interior and exterior of aircraf...",Dubai,SUMMER BREEZE,,,Full time,Intermediate School,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/aircraft-cabin-cleaner-71394,08 Aug 2024 -,2800 - 3200 UAE Dirhams(Monthly),Cleaning
Business and Management,,Business Operations Manager,The Operations Manager is a pivotal role responsible for overseeing and improving the company’s day-to-day operations. This includes managing the o...,Dubai,G-Lux Interiors Solution DWC-LLC,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/business-operations-manager-71340,07 Aug 2024 -,10000 - 15000 UAE Dirhams(Monthly),"Aviation, Business Development Operations, Business Management, Business Operations, Business Planning, Business Strategy, Marine"
Business and Management,,Business Operations Manager/Business Development,The Operations Manager is a pivotal role responsible for overseeing and improving the company’s day-to-day operations. This includes managing the o...,Dubai,G-Lux Interiors Solution DWC-LLC,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/business-operations-managerbusiness-development-71339,07 Aug 2024 -,10000 - 15000 UAE Dirhams(Monthly),"Aviation, Business Development Operations, Business Management, Business Operations, Business Planning, Business Strategy, Marine"
Business and Management,,Aviation & Maritime Sales Manager,"Job Description:
G-Lux Interior is specialized in Interior Restoration and Refurbishment of Aircrafts, Jets & Yachts and we are seeking an experien...",Dubai,G-Lux Interiors Solution DWC-LLC,,,Full time,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/aviation-maritime-sales-manager-71336,07 Aug 2024 -,5000 - 8000 UAE Dirhams(Monthly),"Aviation, Marine, Marketing Analysis, Marketing Sales, Project Management, Project Sales"
"Logistics, Supply Chain, and Transportation",,Light Vehicle Driver,"1.      Current Vacancy - Limousine Drivers:  30 to 50 Light Duty Drivers (Manual / Automatic License holders)
2.       Driving License: Light Vehi...",Dubai,YALDI luxury car services,,,Contract,Intermediate School,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/light-vehicle-driver-70748,17 Jul 2024 -,2500 - 2560 UAE Dirhams(Monthly),"Customer Handling, English Speaking, Grooming, Light Vehicle Driving"
"Accounting, Finance, and Insurance",,FP&A manager,"Accountabilities
Reporting and Analysis:
Lead the financial planning, analysis, and reporting by consolidating and interpreting reports detailing a...",Abu Dhabi,META Advisory Partners,,,Full time,,,Senior-Level,,7+ Years,https://www.gulfjobs.com/job/fpa-manager-70555,09 Jul 2024 -,33000 - 35000 UAE Dirhams(Monthly),"Accounting & Finance, Financial Planning & Analysis"
"Architecture, Design, and Construction",,Sr Quantity Surveyor,"Role Summary:

Should work closely with clients, contractors, and project teams to ensure that project costs are controlled and align with the proj...",Abu Dhabi,Kardinia Alshaam Decor Work - L.L.C - O.P.C,,,Contract,Bachelors,,Senior-Level,,7+ Years,https://www.gulfjobs.com/job/sr-quantity-surveyor-73119,18 Sep 2024 -,7000 - 8000 UAE Dirhams(Monthly),"Contract Management, Cost Management, Procurement, Risk Management, Tendering"
"Logistics, Supply Chain, and Transportation",,Light Vehicle Driver,"Job Summary:

We are looking for a reliable van driver to transport labor and small goods to job sites.

Responsibilities:

- Drive a van to transp...",Sharjah,Interior,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/light-vehicle-driver-72877,13 Sep 2024 -,2000 -  UAE Dirhams(Monthly),Driving
"Architecture, Design, and Construction",,GYPSUM CARPENTER,GYPSUM CARPENTER IN INTERIOR FIT OUTS,Dubai,WHITEMONDE INTERIOR DECORATION LLC,,,Full time,No Education,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/gypsum-carpenter-72822,12 Sep 2024 -,1400 - 2000 UAE Dirhams(Monthly),"Painter, Tiles Mason"
"Architecture, Design, and Construction",,Interior Site Supervisor,"Minimum 2 years of experience in Interior designs and fit out UAE.
Valid driving license of UAE is mandatory.
English language proficiency is manda...",Dubai,WHITEMONDE INTERIOR DECORATION LLC,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/interior-site-supervisor-72818,12 Sep 2024 -,4000 - 6500 UAE Dirhams(Monthly),"English Language, Light Vehicle Driving, People Management Skills, Team Management"
"Agriculture, Forestry, and Environmental Science",,Spray Wood Painter,We are pleased to announce that Aram Building Contracting LLC is currently seeking a skilled and experienced Spray Wood Painter to join our team. A...,Dubai,Aram Building Contracting LLC,,,Full time,Secondary School,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/spray-wood-painter-72745,10 Sep 2024 -,2000 - 25000 UAE Dirhams(Monthly),Painter
"Architecture, Design, and Construction",,Gypsum Carpenter,"We are currently seeking a skilled and experienced Gypsum Carpenter to join our team, an interior design and fit-out works company. As a Gypsum Car...",Dubai,Aram Building Contracting LLC,,,Full time,Secondary School,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/gypsum-carpenter-72744,10 Sep 2024 -,2000 - 2500 UAE Dirhams(Monthly),"Carpentry, Wood Carpenter"
Engineering and Technology,,Junior Civil Engineer,"Company Description

Sayed Abbas Technical Services is the fastest growing Company based on Dubai having more than 25 years UAE market expertise, o...",Dubai,Sayed Abbas Technical Services LLC,,,Full time,Diploma,,Student,,Fresh,https://www.gulfjobs.com/job/junior-civil-engineer-72736,10 Sep 2024 -,1500 -  UAE Dirhams(Monthly),"AutoCAD 2D, Building Maintenance, Civil Construction"
"Architecture, Design, and Construction",,Interior Site Supervisor,We are looking a supervisor / foreman for Interior decoration work (Suspended ceiling and painting work),Dubai,Ofeq Al Reyadeh Technical service,,,Contract,Secondary School,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/interior-site-supervisor-72724,09 Sep 2024 -,1500 - 2000 UAE Dirhams(Monthly),Site Supervision
"Architecture, Design, and Construction",,Senior Architect,"* At least 7-8 Years of UAE experienced is required.
* Adequate in Architectural Skills including Revit Software Proficiency.
* Adequate in detaile...",Dubai,A&D Studio Engineering Consultants,,,Contract,Bachelors,,Senior-Level,,7+ Years,https://www.gulfjobs.com/job/senior-architect-72602,06 Sep 2024 -,8000 - 10000 UAE Dirhams(Monthly),"Architectural Design, REVIT Architecture"
Business and Management,,"Business Development Executive - For Decorative wall panels, Facade Claddings, Ceilings by VOX in the UAE Market","About VOX Furniture UAE

VOX Capital Group is one of Europe's most innovative brands in designing, manufacturing, and distributing furniture, home...",Dubai,VOX Furniture UAE,,,Contract,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/business-development-executive-for-decorative-wall-panels-facade-claddings-ceilings-by-vox-in-the-uae-market-72468,03 Sep 2024 -,7000 - 8000 UAE Dirhams(Monthly),"Architectural Design, B2B Sales, Building Material, Business Development"
Administrative and Secretarial Services,,office receptionist,"need smart receptionist  artistic background, well knowledge in english and we ability manage children",Dubai,artkala fine arts training llc,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/office-receptionist-72965,15 Sep 2024 -,1500 - 2000 UAE Dirhams(Monthly),Administrative Support
"Consultancy, Training and Education",,female receptionist,"need smart receptionist  artistic background, well knowledge in english and we ability manage children",Dubai,artkala fine arts training llc,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/female-receptionist-72964,15 Sep 2024 -,1500 - 2000 UAE Dirhams(Monthly),Administrative Support
"Logistics, Supply Chain, and Transportation",,Van driver,"A malayali (Keralites ) Driver required for a small dance music school ,umm Al tarafa ,Sharjah.
Urgent Requirements.",Sharjah,Dhanish,,,Contract,No Education,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/van-driver-72938,14 Sep 2024 -,2000 - 2500 UAE Dirhams(Monthly),Bus Driving
"Creative Arts, Event Management and Entertainment",,Host/Hostess entertainment,"Animator / Game Master SENSAS dubai (M/F)

Looking for a sensational job?

SENSAS has created a unique entertainment concept around the sensory exp...",Dubai,Goodlife escape sports & amusement track,,,Full time,Intermediate School,,Student,,Fresh,https://www.gulfjobs.com/job/hosthostess-entertainment-72740,10 Sep 2024 -,3500 - 4000 UAE Dirhams(Monthly),"Entertainment, Good Personality"
Business and Management,,Manager,"Looking for a sensational job?

SENSAS has created a unique entertainment concept around the sensory experience: teams of 4 to 15 participants test...",Dubai,Goodlife escape sports & amusement track,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/manager-72739,10 Sep 2024 -,8000 - 10000 UAE Dirhams(Monthly),"Entertainment, Leadership"
"Retail, Wholesale, and Inventory Management",,Store Supervisor,"Job Description:

A new business startup is seeking a passionate and dedicated Game Master to join the team. The ideal candidate will be responsibl...",Manama,Pixelleaps,,,Contract,Secondary School,,Student,,Fresh,https://www.gulfjobs.com/job/store-supervisor-72730,09 Sep 2024 -,200 -  Bahrain Dinar(Monthly),"Communication Skills, Customer Relationship"
"Advertising, Media Journalism and Public Relations",,Graphic Designer,"Position Overview:
We are looking for an experienced Graphic Designer with a minimum of 5 years in the field, who can bring a wealth of design expe...",Abu Dhabi,Aquaholic Creatives and Marketing,,,Contract,Bachelors,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/graphic-designer-72715,09 Sep 2024 -,5000 - 8000 UAE Dirhams(Monthly),Indesign
"Advertising, Media Journalism and Public Relations",,Video Editor,"Position Overview: As a Video Editor at PME Entertainment, you will be responsible for editing high-quality promotional videos for our shows, conce...",Dubai,PME Entertainment,,,Full time,,,Student,,Fresh,https://www.gulfjobs.com/job/video-editor-72599,06 Sep 2024 -,5000 - 6000 UAE Dirhams(Monthly),"Adobe Illustrator, Adobe Photoshop, Adobe Premiere"
Business and Management,,"Senior Manager, Venture Development","About Us:
Prototypes for Humanity is a global platform and enabler of science-backed innovations. Operating from Dubai and working with a pool of t...",Dubai,Art Dubai Group,,,Full time,,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/senior-manager-venture-development-72578,05 Sep 2024 -,1 - 1 UAE Dirhams(Monthly),Business Analyst
International Development and NGO,,Venture Development Coordinator,"About Us:
Prototypes for Humanity is a global platform and enabler of science-backed innovations. Operating from Dubai and working with a pool of t...",Dubai,Art Dubai Group,,,Full time,,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/venture-development-coordinator-72577,05 Sep 2024 -,1 - 1 UAE Dirhams(Monthly),"Data Science, Market Research"
