Title,Company,Location,Job Type,Posted Time,Salary,Job Link,Qualifications,Responsibilities,Experience,Work From,Description
Sales Manager (Water),Resillion Netherlands,Remote:,Full time,1 day ago,125 - 225K,https://jobgether.com/offer/66f2aaa390614097a6375abe-sales-manager-water,"Qualifications: 5+ years of sales experience in labs, Preferred experience with clinical services, Strong understanding of water testing regulations, Strategic thinker with proactive business approach, Competent computer skills including MS Office.",Sell laboratory services for water testing    ,Senior (5-10 years),Full Remote,"Company Description
Eurofins Scientific is an international life sciences company, providing a unique range of analytical testing services to clients across multiple industries, to make life and our environment safer, healthier and more sustainable. From the food you eat, to the water you drink, to the medicines you rely on, Eurofins works with the biggest companies in the world to ensure the products they supply are safe, their ingredients are authentic and labelling is accurate.
Eurofins is the global leader in food, environment, pharmaceutical and cosmetic product testing and in agroscience Contract Research Organisation services. Eurofins is one of the market leaders in certain testing and laboratory services for genomics, discovery pharmacology, forensics, advanced material sciences and in the support of clinical studies, as well as having an emerging global presence in Contract Development and Manufacturing Organisations. The Group also has a rapidly developing presence in highly specialised and molecular clinical diagnostic testing and in-vitro diagnostic products.
In over just 30 years, Eurofins has grown from one laboratory in Nantes, France to 55,000 staff across a decentralised and entrepreneurial network of 900 laboratories in over 50 countries. Eurofins offers a portfolio of over 200,000 analytical methods to evaluate the safety, identity, composition, authenticity, origin, traceability and purity of biological substances and products.
Job Description
We are Ascend, one of the highest volume clinical laboratories focusing on both blood and water testing in the United States. With the use of the most advanced tools and technology, we process millions of tests each month for our client base comprised of over 75 hospitals and over 2,300 dialysis clinics. For over 20 years, we have been delivering industry-leading service and excellence in testing. At Ascend, we are relentless about innovation and growing to pioneer the future of clinical and environmental laboratory testing."
Sales Development Representative (SDR),AIRS Medical,Remote:,Full time,5 day ago,38 - 86K,https://jobgether.com/offer/66ef2652c2a1f7c278624279-sales-development-representative-sdr,"Qualifications: 1-3 years in sales development or lead generation, Bachelor's degree in Business or related field, Strong communication and negotiation skills, Familiarity with CRM software and tools, Self-motivated and goal-oriented attitude.",Identify and research potential clients    ,Mid-level (2-5 years),Full Remote,"AIRS Medical Inc., founded in Oct 2018, is a medical AI startup based in Seoul, Korea, that builds innovative products and services to improve patient experience and institutional efficiency in areas where productivity is limiting clinical value.
AIRS has demonstrated unparalleled deep learning technology in MR image reconstruction, consecutively winning 2019 and 2020 fastMRI Challenge hosted by Facebook AI Research (FAIR) and NYU Langone Health. This SwiftMR technology is a standalone software solution that enables up to 50% MRI scan time reduction without compromising image quality and has successfully been commercialized in Korea and the US market.
With the recent acquisition of AI-robotics-based startup, Artiq, AIRS aims to further solidify its unique market position of diagnostic efficiency as well as its monopoly of top-notch talents in AI and robotics. Artiq brings to AIRS a new product, AIIV, a venipuncture automation robot. The prototype is ready to undergo clinical trials in summer 2024 in Korea, with commercial launch targeted for the end of 2024, which will be the first commercialization of its kind in the world.
AIRS has finalized a $20 million Series C fundraising stage last July. The accumulated total of funds raised to date is approx. $45 million.
🚩Roles & Responsibilities
As a Sales Development Representative (SDR), you will play a critical role in our sales team by identifying and creating new business opportunities. You will be the first point of contact for potential clients, responsible for prospecting, qualifying, and generating new sales leads. This position requires a hunter mentality, excellent communication skills, and the ability to thrive in a fast-paced environment."
Seasonal Retail Sales Associate - Baytown Village S/C,Gap Inc.,Remote:,Part time,Today,57 - 57K,https://jobgether.com/offer/66f38cc7d100f20fd7ae11d7-seasonal-retail-sales-associate---baytown-village-s-c,"Qualifications: Good communicator, Customer-focused service provider, Able to maneuver and lift items, Flexible schedule availability, Ability to use retail technology.",Engage and connect with customers Promote loyalty programs and drive sales Enhance customer experience with omnichannel offerings  ,Entry-level / graduate,Full Remote,"About the Role
As a Brand Associate, you’re an integral part of our team and bring our brand to life for our customers. You’re responsible for engaging and connecting with our customers by providing excellent customer service resulting in brand loyalty. You’re an expert in product and use your knowledge and experience to educate, inform, inspire and wardrobe the customer. Through collaboration with your leadership team, you’ll deliver a best-in-class customer experience using an omni-channel approach. .
What You'll Do
Consistently treat all customers and employees with respect and contribute to a positive work environment. 
 Promote loyalty by educating customers about our loyalty programs. 
 Seek out and engage with customers to drive sales and service using suggestive selling. 
 Enhance customer experience using all omnichannel offerings. 
 Be accountable to personal goals which contribute to overall store goals and results. 
 Support sales floor, fitting room, cash wrap, back of house, as required. 
 Maintain a neat, clean and organized work center. 
 Handle all customer interactions and potential issues/returns courteously and professionally.
Execute operational processes effectively and efficiently. 
Who You Are"
Regional Sales Manager - Industrial - Central California,Hach,Remote:,Full time,Today,90 - 102K,https://jobgether.com/offer/66f38c42d100f20fd7aded9d-regional-sales-manager---industrial---central-california,"Qualifications: 5+ years in water management roles, B2B experience in complex products, Bachelor's degree in science-related field, CRM experience preferred, Certifications in water management desirable.",Lead strategic sales for industrial accounts Develop monthly territory and account plans   ,Mid-level (2-5 years),Full Remote,"At Hach, we ensure water quality for people around the world, and every associate plays a vital role in that mission. Our founding vision is to make water analysis better—faster, simpler, greener and more informative. We accomplish this through teamwork, customer partnerships, passionate experts, and reliable, easy-to-use solutions.

As part of our team, you’ll make an immediate, measurable impact on California's water resources. You’ll also belong to a supportive and collaborative community that fosters career growth and professional development. You’ll be supported by resources that make a positive difference in your life because, at Hach, we value your authenticity and want your talents to shine.

Motivated by the highest possible stakes of climate change and global health, we’re working together within a rapidly digitizing industry to find innovative technologies that guarantee the safety of our water and our environment.

We offer:

Medical/Dental/Vision/401k with matching (4%) all start day 1
Permissive Paid Time Off (PPTO) to take time off when you need it (no tracking/accruals)
Career coaching and development opportunities




This Regional Sales Manager (RSM) will lead strategic sales targeting industrial customer accounts including food & beverage, power plants, chemical and petrochemical and industrial engineering firms. You'll promote the company’s industrial products, from instrumentation and reagents to fully integrated solutions and services.

The territory includes the Central Valley and the surrounding areas including San Francisco, Bakersfield, Paso Robles, and San Luis Obispo. To be successful, you will be traveling 75% of the time to meet with at least 10 customers a week. Some travel may require overnight stays at company approved accommodations.

This highly autonomous role requires strong intuition for business, planning, and the ability to implement strategic sales plans. The most successful Regional Sales Managers have an entrepreneurial mindset.



Providing access to and information about water is our number one responsibility. Both around the corner and around the globe, we are committed to providing innovative solutions that help ensure that communities large and small have water that is safe, accessible, and available for all. Want to join us in this mission?


















Certifications:




Preferred Experience (5+ years):






The salary range for this role is $90,000 – 100,000 base + monthly commissions. This is the range that we in good faith believe is the range of possible compensation for this role at the time of this posting. We may ultimately pay more or less than the posted range and this range is only applicable for jobs to be performed in California. This range may be modified in the future.

This job is also eligible for bonus/incentive pay.

We offer comprehensive package of benefits including paid time off, medical/dental/vision insurance and 401(k) to eligible employees.

Note: No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.





External hiring into this position is contingent upon the successful completion of a pre-employment drug screen and background check and possible credit history review.

Hach is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, national origin, religion, gender, age, marital status, disability, veteran status, sexual orientation, gender identity, or any other characteristic protected by law.



The below range reflects the range of possible compensation for this role at the time of this posting. We may ultimately pay more or less than the posted range. This range may be modified in the future. An associate’s position within the salary range will be based on several factors, including, but not limited to, relevant education, qualifications, certifications, experience, skills, seniority, geographic location, performance, shift, travel requirements, sales or revenue-based metrics, any collective bargaining agreements, and business or organizational needs.

The compensation range for this role is $90,000.00 - $102,000.00 USD per year. This job is also eligible for Incentive Pay.

We offer a comprehensive package of benefits including paid time off, medical/dental/vision insurance and 401(k) to eligible employees.

Note: No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.

US residents: In any materials you submit, you may redact or remove age-identifying information such as age, date of birth, or dates of school attendance or graduation. You will not be penalized for redacting or removing this information.

Veralto Corporation and all Veralto Companies are committed to equal opportunity regardless of race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law. We value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes.

The EEO posters are available .

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us at applyassistance@veralto.com to request accommodation.



We do not accept unsolicited assistance from any headhunters or recruitment firms for any of our job openings. All resumes or profiles submitted by search firms to any employee at any of the Veralto companies, in any form without a valid, signed search agreement in place for the specific position, approved by Talent Acquisition, will be deemed the sole property of Veralto and its companies. No fee will be paid in the event the candidate is hired by Veralto and its companies because of the unsolicited referral."
Sales Development Representative (German speaker),Gain.pro,Remote:,Full time,1 day ago,38 - 134K,https://jobgether.com/offer/66f2aa9d90614097a6375901-sales-development-representative-german-speaker,"Qualifications: At least 12 months in SaaS business development or sales, Business or finance degree from a leading university, Fluent in English and German.",Generate qualified sales leads and meetings Personalized outreach using insights and content Manage inbound leads to convert into meetings  ,Junior (1-2 years),Full Remote,"Who are we?
Gain.pro is on a mission to provide global private market visibility. Our industry-leading platform combines advanced AI tech with local-for-local research. It delivers the highest quality information on the companies that matter to you most.We serve 100% of MBB/Big-4 advisories, clients representing >$500bn of private equity capital and more than 70% of the top-20 global M&A houses. Examples include Blackstone, Goldman Sachs and McKinsey. We lead the market on customer satisfaction, as validated by external research (User Evidence survey 2023). Gain.pro has been named as one of Europe’s top 50 fastest growing businesses, operating globally with offices in Amsterdam, London, Frankfurt, Warsaw and Bangalore.

What will be your role?
You will be the backbone of our European growth strategy, supporting our sales team across regions. This entails:

Owning and over-performing against your pipeline generation target – You generate strong qualified sales leads and meetings, feeding the Sales Team who will turn them into new customers, resulting in additional ARR 
Personalised outreach 
– You reach out to new prospects in a hyper-personalized manner, leveraging insights, intelligence, and content to gain"
"Career Opportunities: Hershey's Part-Time Sales Associate (Morristown, TN) (123027)",The Hershey Company,Remote:,Part time,1 day ago,29 - 31K,https://jobgether.com/offer/66f2e33990614097a639ef5b-career-opportunities-hershey-s-part-time-sales-associate-morristown-tn-123027,"Qualifications: Valid US driver's license, Personal vehicle in sound condition, High School Diploma or GED, 3-4 years food merchandising preferred, Must reside in or commute to territory.",Sell and maintain distribution of Hershey items Execute sales and merchandising plans  ,Junior (1-2 years),Full Remote,"Summary:
Location:  
Flexible Schedules Available
  To be considered for this role, candidates must reside in or be willing to commute to:
This is a remote position; candidates must be comfortable traveling to each of the store locations. 
This position will require you to drive your personal vehicle 55 miles per day in your assigned territory. Mileage may vary depending on where you live in comparison to the territory.  No car allowance is provided;  however, mileage for travel will be reimbursed at 62 cents per mile.
A Part-Time role as a Territory Sales Associate (TSA) is a great way for a relationship-oriented person to flex their selling skills while representing some of the biggest and most exciting brands in America! Our TSAs will sell and insure best in class merchandising to include building displays, increasing distribution of our top selling items, and replenishing permanent secondary displays.
Work Schedule
This position is considered “Continuous Part-Time” working 20-25 hours per week. On average, a TSA will visit between 6-10+ accounts per day.  This role offers flexible work schedules based on personal needs, territory needs and being present in stores when key decision makers are available.  Your workday should overlap the core hours of 6:00am to 4:00pm, Monday through Friday, unless otherwise required by business needs."
Sales Development Representative,Recruitment Room,Remote:,Full time,6 day ago,30 - 70K,https://jobgether.com/offer/66ed64055bc6888deb74b2ee-sales-development-representative,"Qualifications: 1+ years of sales or business development experience, Preferably in the SaaS space, Strong verbal and written communication skills, Experience in generating leads, Results-oriented mindset with a record of exceeding targets.","Identify potential opportunities and initiate contact Qualify prospects through cold-calling, emails, and social platforms   ",Junior (1-2 years),Full Remote,"Kalepa is an award-winning AI software company transforming the trillion-dollar commercial insurance industry. Our state-of-the-art AI Copilot platform empowers underwriters to make smarter, faster, and more accurate decisions, so insurers can grow their top and bottom lines while business owners get the coverage they need.
Copilot is delivering real, tangible impact to insurers from day 1, and underwriters rave about it. . “[They] don't know if [they] could function doing daily underwriting without having it.” and they assert that ""not only is Kalepa’s technology miles ahead of other vendors, but when it came to driving real impact on our business, there [is] no competition.""
Kalepa’s Copilot powers insurers of all sizes, including +$10B carriers like Arch and Munich Re, hypergrowth MGAs like Bowhead Specialty and Paragon, and small regional insurers like North Star Mutual.
At Kalepa, you'll join a team of doers who are passionate about innovating and winning. We are a fast-moving group with high expectations for every person we hire and everything we build.
Join us if you want to be a crucial part of a company whose AI actually works.
Base Salary: $50K - $70K
Target Commission: $20-30K
Equity: 0.003% to 0.02%
Kalepa is looking for an exceptional Sales Development Representative with 1+ years of sales or business development experience to help spearhead our commercial growth. We are a VC-backed, remote-friendly startup delivering software to transform and disrupt commercial insurance. Our HQ is located in New York City."
Remote Associate Inside Sales Associate (ND-L) - National General,National General,Remote:,Full time,Today,28 - 100K,https://jobgether.com/offer/66f38d08d100f20fd7ae22d2-remote-associate-inside-sales-associate-nd-l---national-general,"Qualifications: Property and Casualty License required in specific states, High School Diploma or GED, Proven success of adequate typing speed while communicating, Working knowledge of auto policies, Strong phone etiquette and proficiency with sales systems.",Provide quotes and sell policies across multiple insurance lines    ,Entry-level / graduate,Full Remote,"National General is a part of The Allstate Corporation, which means we have the same innovative drive that keeps us a step ahead of our customers’ evolving needs. We offer home, auto and accident and health insurance, as well as other specialty niche insurance products, through a large network of independent insurance agents, as well as directly to consumers.

Job Description

This great opportunity uses cutting-edge technology to provide quotes and sell policies across multiple insurance lines and carriers. In addition, this role is responsible for providing outstanding client service and creating a positive relationship between the company and its prospective clients. Our Insurance Sales Agents are responsible for using various systems to track, gather information and answer customer inquiries as well as identify customer needs and meet those needs using our sales tools and techniques. We work collaboratively to support the team’s energy, morale, and production! Key performance indicators include metrics such as sales, productivity and quality requirements. Develop expertise in property and casualty insurance across all product lines, including ancillary policies. Agent careers at National General follow career paths that include multiple levels including Senior Agent, Executive Agent, and President’s Circle Agent - each offering increases in base pay and higher multipliers that add to incentive pay.

National General Insurance is an Allstate Business

Want to grow your sales career with one of the fastest growing insurers in the country!? Start a new career in a performance-driven environment where you’re recognized and rewarded for your results?

If you are ready to start working in a fun & exciting environment where making a difference matters, then apply to join our team today!

What makes National General Insurance unique?



Minimum Skills and Competencies:



2024 Remaining Class Start Dates:



This great opportunity uses cutting-edge technology to provide quotes and sell policies across multiple insurance lines and carriers. In addition, this role is responsible for providing outstanding client service and creating a positive relationship between the company and its prospective clients. Our Insurance Sales Agents are responsible for using various systems to track, gather information and answer customer inquiries as well as identify customer needs and meet those needs using our sales tools and techniques. We work collaboratively to support the team’s energy, morale, and production! Key performance indicators include metrics such as sales, productivity and quality requirements. Develop expertise in property and casualty insurance across all product lines, including ancillary policies. Agent careers at National General follow career paths that include multiple levels including Senior Agent, Executive Agent, and President’s Circle Agent - each offering increases in base pay and higher multipliers that add to incentive pay.



Compensation offered for this role is $15 - 15 per hour and is based on experience and qualifications.

At National General, great things happen when our people work together. That’s why when you join our team, we make sure it isn’t just a job — it’s an opportunity. One that takes your skills and pushes them to the next level. One that encourages you to challenge the status quo. And one where you can impact the future for the greater good.

You’ll do all this in a flexible environment that embraces connection and belonging. And with the recognition of several inclusivity and diversity awards, we’ve proven that Allstate empowers everyone to lead, drive change and give back where they work and live.



National General Holdings Corp., a member of the Allstate family of companies, is headquartered in New York City. National General traces its roots to 1939, has a financial strength rating of A– (excellent) from A.M. Best, and provides personal and commercial automobile, homeowners, umbrella, recreational vehicle, motorcycle, supplemental health, and other niche insurance products. We are a specialty personal lines insurance holding company. Through our subsidiaries, we provide a variety of insurance products, including personal and commercial automobile, homeowners, umbrella, recreational vehicle, supplemental health, lender-placed and other niche insurance products.



Direct General Auto & Life, Personal Express Insurance, Century-National Insurance, ABC Insurance Agencies, NatGen Preferred, NatGen Premier, Seattle Specialty, National General Lender Services, ARS, RAC Insurance Partners, Mountain Valley Indemnity, New Jersey Skylands, Adirondack Insurance Exchange, VelaPoint, Quotit, HealthCompare, AHCP, NHIC, Healthcare Solutions Team, North Star Marketing, Euro Accident.



National General Holdings Corp. is an Equal Opportunity (EO) employer – Veterans/Disabled and other protected categories. All qualified applicants will receive consideration for employment regardless of any characteristic protected by law. Candidates must possess authorization to work in the United States, as it is not our practice to sponsor individuals for work visas. In the event you need assistance or accommodation in completing your online application, please contact NGIC main office by phone at (336) 435-2000."
Key Account Manager Digital & Out of Home Media (m/w/d),Ströer SE & Co. KGaA,Remote:,Full time,Today,38 - 38K,https://jobgether.com/offer/66f38be8d100f20fd7add628-key-account-manager-digital-out-of-home-media-m-w-d,"Qualifications: Completed studies, ideally in Marketing or Sales, Relevant professional experience in sales, Experience in digital media, agency or media planning, Good knowledge of the German media market, Travel willingness is expected.",Responsible for digital marketing of Ströer portfolio Manage and acquire large national advertisers   ,Mid-level (2-5 years),Full Remote,"Unternehmensbeschreibung
Willkommen bei Ströer Media Solutions. Willkommen in der Welt der Außenwerbung und der digitalen Medien.
Was wir tun? Unsere Kund:innen erfolgreicher machen. Mit Kommunikationslösungen, die richtig gut funktionieren. Im öffentlichen Raum und online.
Dafür arbeiten wir in unseren Gesellschaften Ströer Sales & Services GmbH, Ströer Digital Media GmbH und allen beteiligten Unternehmen mit mehr als 750 tollen Kolleg:innen in ganz Deutschland.
Mit hohem Anspruch. Mit viel Engagement. Und mit viel Freude.

Für die Standorte Hamburg, Köln, Düsseldorf, Frankfurt, Berlin oder München sind wir aktuell auf der Suche nach einem Key Account Manager Digital Media (m/w/d).
Stellenbeschreibung
Du bist verantwortlich für die digitale Vermarktung des gesamten Ströer-Portfolios inkl. crossmedialer Ansätze mit Public Video
Du betreust und akquirierst große nationale Werbungtreibende und/oder deren Mediaagenturen
Du erarbeitest zusammen mit unserem Innendienst kundenindividuelle Online- bzw. Crossmedia-Lösungen, die Du professionell bei unseren Kund:innen/Agenturen präsentierst und umsetzt
Du entwickelst strategische Maßnahmen zur langfristigen Kundenbindung und Sicherung des Bestandumsatzes
Du identifizierst selbstständig Umsatzpotentiale und übernimmst die vollständige Umsatzverantwortung für Deinen Kundenstamm"
Bilingual (Spanish & English) Sales Manager,Thumbtack Philippines,Remote:,Full time,Today,93 - 143K,https://jobgether.com/offer/66f38c53d100f20fd7adf1df-bilingual-spanish-english-sales-manager,"Qualifications: Bilingual in Spanish and English, Minimum 3 years sales experience, 2-3 years of sales management experience, Expert at solution-based selling, Experience with CRM, preferably Salesforce.",Oversee team of Spanish speaking sales reps Maintain high team morale and productivity   ,Mid-level (2-5 years),Full Remote,"A home is the biggest investment most people make, and yet, it doesn’t come with a manual. That's why we’re building the only app homeowners need to effortlessly manage their homes —  knowing what to do, when to do it, and who to hire. With Thumbtack, millions of people care for what matters most, and pros earn billions of dollars through our platform. And as one of the fastest-growing companies in a $600B+ industry — we must be doing something right. 
We are driven by a common goal and the deep satisfaction that comes from knowing our work supports local economies, helps small businesses grow, and brings homeowners peace of mind. We’re seeking people who continually put our purpose first: advocating for pros and customers, embracing change, and choosing teamwork every day.
At Thumbtack, we're creating a new era of home care. If making an impact and the chance to do good inspires you, join us. Imagine what we’ll build together. 
Thumbtack by the Numbers
Available nationwide in every U.S. county
80 million projects started on Thumbtack
10 million 5-star reviews and counting
Pros earn billions on our platform
1000+ employees 
$3.2 billion valuation (June, 2021) 
About the Sales Team"
Employee Benefits Account Executive (Regional - Atlantic),Risk Strategies Company,Remote:,Full time,1 day ago,1000 - 1000K,https://jobgether.com/offer/66f2e2dd90614097a639dc34-employee-benefits-account-executive-regional---atlantic,"Qualifications: BA/BS preferred, 5+ years of health & welfare experience, Life, Accident and Health Insurance License required, Technical knowledge of benefits administration, GBA or CEBS Certification a plus.","Manage a book of business approximately $1,000,000+ Develop and maintain client relationships   ",Senior (5-10 years),Full Remote,"Job Summary
The Account Executive interacts with clients on a day-to-day basis while developing and maintaining relationships with both client and carrier representatives to develop and execute on the client’s benefit strategy. The Account Executive will research, analyze, and evaluate medical, life, disability and other benefit plans and serve as the benefit expert to clients. The Account Executive is the primary point of contact for clients and will have indirect supervision of team members, review work for accuracy and delegate work and projects to other members of the team to ensure client deliverables are timely and accurate. The Account Executive is responsible for revenue growth – client expansion – on their personal book of business and assisting producers and team with prospecting new clients, including proposal development.
The qualified candidate must have strong knowledge across the spectrum of employer-sponsored health & welfare related plans, including federal and state regulations that impact these plans.
Primary Responsibilities and Duties
Subject matter expert on Health & Welfare Benefits, vendor/carrier products and services including, but not limited to, medical, dental, vision, life, disability, and voluntary
Manage a book of business of approximately $1,000,000+
Develop and maintain strong relationships with reference-ready clients, prospects, and carriers
Keep clients apprised of appropriate industry trends and events, including all state and federal regulatory issues
Proactively anticipate client needs and bring forward strategies to address their challenges"
Retail Sales Consultant,AT&T,Remote:,Full time,6 day ago,"Remote: 
Russia",https://jobgether.com/offer/66ed9c8f5bc6888deb7646be-retail-sales-consultant,"Qualifications: Prior retail experience preferred, No sales experience required, Training provided if needed.",Guide customers through sales options Meet sales targets to earn commissions Engage in community events and calls,Entry-level / graduate,Full Remote,"Job Description:
It’s time to take your sales career to the next level. Every day you’ll be at the center of it all. Your goal? Create meaningful connections with every customer, with your personalized sales expertise. Meeting sales targets and earning your commission happens with the power of AT&T’s full suite of products at your fingertips – the latest devices and personalized services that bring friends, families and communities closer together.
Let’s talk about what to expect:
On the sales floor, you’ll use a consultative sales approach guiding customers through their options, this is where your drive and passion for helping people will really shine.
You’ll be a part of the community through events, filling online orders and making outbound calls to existing and potential customers.
You’ll work a schedule between 9am-9pm, including weekends, so you can be there when our customers need us. Monthly seniority-based schedules are available 2 weeks in advance.
This is a fast-paced environment, being flexible and open to change will help you stay current with evolving tech and all the ways we work to meet customer’s needs.
Prior retail or customer-facing sales experience is a plus. No sales experience? We’ll provide you with the tools, training and coaching needed to help you meet and exceed your goals!
Our Retail Sales Consultants earn between $14.17 - $16.25 per hour plus $13,700+ in commissions if all sales goals are met. With our uncapped commission opportunities, overachieving those goals earn top sellers $62,460 per year. Individual starting salary within this range may depend on geography, experience, expertise, and education/training. 



40
Regular
USA:LA:West Monroe:208 Thomas Rd:RET/RET
$0"
Senior Account Executive - Enterprise Saas Sales,Minitab,Remote:,Full time,Today,400 - 400K,https://jobgether.com/offer/66f38bb0d100f20fd7adc82f-senior-account-executive---enterprise-saas-sales,"Qualifications: Track record of 100%+ quota achievement, Skilled in value based selling, Experience with enterprise accounts (1B+), Strong territory and time management skills, Intellectually curious about customer needs.",Own relationships for assigned accounts and territory Identify new sales opportunities and develop plans   ,Senior (5-10 years),Full Remote,"As a Senior Account Executive (SAE) you will participate in a virtual account team-selling environment.  You will be the primary point of contact and relationship owner for Minitab with our Prospects and Customers.  You will assume the ownership role for your assigned enterprise accounts and territory while driving the identification and qualification of new sales opportunities, developing and executing account and opportunity plans leading to the generation of both new business (new logo, cross-sell, upsell, consulting & training) and renewal business through software product license/subscriptions and service offerings. 
In addition, the SAE will facilitate and maintain successful relationships with customers, which will be measured by their reference ability, Net Promoter Score, customer satisfaction levels and increased annual recurring revenue levels. Expected travel for on-site meetings with customers/prospects/partners is 50-70%. 
What you can expect?
You will have the opportunity to work for yourself but never by yourself leading your own franchise within your territory owning the entire book of business. 
With a longstanding brand but many new innovative cloud products recently launched, our massive customer base will welcome your call to discuss how our solutions can benefit their business.
A sales enablement program and career ladder to ensure both short and long term success and development.
Make a difference supporting customers that impact the lives of people around the world by leveraging our solutions.
Who are we seeking?
You are intellectually curious and seek to uncover your customer’s unique business problems that lead to a winning outcome for both Minitab and our customers."
Stylist - Retail Sales Associate - Topanga Plaza,Gap Inc.,Remote:,Full time,Today,57 - 57K,https://jobgether.com/offer/66f38cd1d100f20fd7ae1486-stylist---retail-sales-associate---topanga-plaza,"Qualifications: Excellent communication skills, Customer-focused service provider, Ability to utilize retail technology, Willingness to work flexible schedule, Capable of lifting up to 30 lbs.",Engage and connect with customers Promote loyalty and educate on programs   ,Entry-level / graduate,Full Remote,"About the Role
As a Brand Associate, you’re an integral part of our team and bring our brand to life for our customers. You’re responsible for engaging and connecting with our customers by providing excellent customer service resulting in brand loyalty. You’re an expert in product and use your knowledge and experience to educate, inform, inspire and wardrobe the customer. Through collaboration with your leadership team, you’ll deliver a best-in-class customer experience using an omni-channel approach. .
What You'll Do
Consistently treat all customers and employees with respect and contribute to a positive work environment. 
 Promote loyalty by educating customers about our loyalty programs. 
 Seek out and engage with customers to drive sales and service using suggestive selling. 
 Enhance customer experience using all omnichannel offerings. 
 Be accountable to personal goals which contribute to overall store goals and results. 
 Support sales floor, fitting room, cash wrap, back of house, as required. 
 Maintain a neat, clean and organized work center. 
 Handle all customer interactions and potential issues/returns courteously and professionally.
Execute operational processes effectively and efficiently. 
Who You Are"
